TimeIndex;TIME;GDP at market prices;Final consumption expenditure of general goverment;Final consumption expenditure of households;Gross fixed capital formation;
105;2019-Q1;112847,30;26641,10;51337,70;27635,30;
106;2019-Q2;112930,60;26429,20;51758,90;27985,10;
107;2019-Q3;112766,90;26564,70;52013,20;27476,60;
108;2019-Q4;113269,80;26529,70;52564,00;27675,80;
109;2020-Q1;113646,10;26523,50;50955,30;27673,40;
110;2020-Q2;104611,20;26047,00;46849,20;26580,30;
111;2020-Q3;109768,90;26563,30;49892,20;27215,10;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
